"Food Code","Food Name","Scientific Name","Local Name","Food Group","No. of Regions","Tags","Energy [kJ]","Moisture [g]","Ash [mg]","Vitamins [mg]","Total Fat [g]","Cholesterol [mg]","Dietary Fiber [g]","Carbohydrate [g]","Protein [g]","Essential Amino acids [g]","Carotenoids [mg]","Polyphenols [mg]","Phytosterols [mg]","Tocopherols [ug]","Tocotrienols [ug]","Organic acids [mg]","Phytate [mg]","Saponins [g]","Essential Quantity Minerals [mg]","Essential Trace Minerals [mg]","Possibly essential Trace Minerals [ug]","Non-essential Trace Minerals [ug]","Toxic Minerals [ug]","Vitamin A [ug]","Vitamin B [mg]","Ascorbic acids (C) [mg]","Vitamin D [ug]","α-Tocopherol equivalent (E) [ug]","Vitamin K [ug]","Saturated Fatty acids [g]","Unsaturated Fatty acids [g]","Essential Fatty acids [g]","Cis Fatty acids [g]","Trans Fatty acids [g]","Monounsaturated Fatty acids [g]","Polyunsaturated Fatty acids [g]","Cis ω-3 Fatty acids [mg]","Cis ω-6 Fatty acids [g]","Cis ω-9 Fatty acids [g]","Cis ω-5 Fatty acids [mg]","Cis ω-7 Fatty acids [mg]","Insoluble Dietary Fiber [g]","Soluble Dietary Fiber [g]","Available CHO [g]","Starch [g]","Oligosaccharides [mg]","Free Sugars [g]","Essential Amino acids [g]","Conditionally essential Amino acids [g]","Non-essential Amino acids [g]","Retinol [ug]","Thiamine (B1) [ug]","Riboflavin (B2) [ug]","Niacin (B3) [mg]","Pantothenic acid (B5) [ug]","Total B6 [mg]","Biotin (B7) [ug]","Folates (B9) [ug]","Ergocalciferol (D2) [ug]","Cholecalciferol (D3) [ng]","25-OH-D3 [ng]","α-Tocopherol [ug]","β-Tocopherol [ug]","γ-Tocopherol [ug]","δ-Tocopherol [ug]","α-Tocotrienol [ug]","β-Tocotrienol [ug]","γ-Tocotrienol [ug]","δ-Tocotrienol [ug]","Phylloquinones (K1) [ug]","Menaquinones (K2) [ug]","Lutein [ug]","Zeaxanthin [ug]","Lycopene [ug]","β-Cryptoxanthin [ug]","γ-Carotene [ug]","α-Carotene [ug]","β-Carotene [ug]","Aluminium (Al) [ug]","Arsenic (As) [ug]","Cadmium (Cd) [ug]","Calcium (Ca) [mg]","Chromium (Cr) [ug]","Cobalt (Co) [ug]","Copper (Cu) [ug]","Iron (Fe) [mg]","Lead (Pb) [ug]","Lithium (Li) [ug]","Magnesium (Mg) [mg]","Manganese (Mn) [ug]","Mercury (Hg) [ng]","Molybdenum (Mo) [ug]","Nickel (Ni) [ug]","Phosphorus (P) [mg]","Potassium (K) [mg]","Selenium (Se) [ug]","Sodium (Na) [mg]","Zinc (Zn) [ug]","Fructose [g]","Glucose [mg]","Sucrose [g]","Maltose [mg]","Lactose [g]","Butyric acid (C4:0) [mg]","Caproic acid (C6:0) [mg]","Caprylic acid (C8:0) [g]","Capric acid (C10:0) [mg]","Lauric acid (C12:0) [mg]","Myristic acid (C14:0) [mg]","Palmitic acid (C16:0) [mg]","Stearic acid (C18:0) [mg]","Arachidic acid (C20:0) [mg]","Behenic acid (C22:0) [mg]","Lignoceric acid (C24:0) [mg]","Myristoleic acid (C14:1) [mg]","Palmitoleic acid (C16:1) [mg]","Oleic acid (C18:1n9) [g]","Elaidic acid (C18:1n9t) [g]","Eicosenoic acid (C20:1n9) [mg]","Erucic acid (C22:1n9) [g]","Nervonic acid (C24:1n9) [mg]","Linoleic acid (C18:2n6) [g]","Eicosadienoic acid (C20:2) [mg]","α-Linolenic acid (C18:3n3) [mg]","Arachidonic acid (C20:4n6) [mg]","Undecanoic acid (C11:0) [ug]","Pentadecanoic acid (C15:0) [mg]","Eicosatrienoic acid (C20:3n6) [mg]","Eicosapentaenoic acid (C20:5n3) [mg]","Docosahexaenoic acid (C22:6n3) [mg]","Docosadienoic acid (C22:2) [mg]","Docosapentaenoic acid (C22:5n3) [mg]","Histidine [mg]","Isoleucine [mg]","Leucine [mg]","Lysine [mg]","Methionine [mg]","Cysteine [mg]","Phenylalanine [mg]","Threonine [mg]","Tryptophan [mg]","Valine [mg]","Alanine [mg]","Arginine [mg]","Aspartic acid [mg]","Glucose [mg]","Glycine [mg]","Proline [mg]","Serine [mg]","Tyrosine [mg]","Oxalates [mg]","Soluble Oxalate [mg]","Insoluble Oxalate [mg]","Cis-Aconitic acid [mg]","Citric acid [mg]","Fumaric acid [mg]","Malic acid [mg]","Quinic acid [mg]","Succinic acid [mg]","Tartaric acid [mg]","3,4-Dihydroxy Benzoic acid [ug]","3-Hydroxy Benzaldehyde [ug]","Protocatechuic acid [ug]","Vanillic acid [ug]","Gallic acid [mg]","Cinnamic acid [ug]","o-Coumaric acid [ug]","p-Coumaric acid [ug]","Caffeic acid [ug]","Chlorogenic acid [mg]","Ferulic acid [ug]","Apigenin [mg]","Apigenin-6-C-gluoside [ug]","Apigenin-7-O-neohesperidoside [mg]","Luteolin [ug]","Kaempferol [mg]","Quercetin [mg]","Quercetin-3-β-D-glucoside [mg]","Quercetin-3-O-rutinoside [mg]","Quercetin-3-β-galactoside [mg]","Isorhamnetin [mg]","Myricetin [mg]","Resvertrol [ug]","Hesperetin [mg]","Naringenin [mg]","Hesperdin [mg]","Daidzein [mg]","Genistein [mg]","(-)-Epicatechin [mg]","(-)-Epigallo catechin [ug]","(-)-Epigallo catechin 3-gallate [ug]","(+)-Catechin [mg]","(-)-Gallocatechin gallate [ug]","(-)-Gallocatechin [ug]","Syringic acid [mg]","Sinapinic acid [mg]","Ellagic acid [mg]","Raffinose [mg]","Stachyose [mg]","Verbascose [mg]","Ajugose [mg]","Campesterol [mg]","Stigmasterol [mg]","β-Sitosterol [mg]","Carotenes [ug]","Xanthophylls [ug]","β-Carotene equivalents [ug]"
H001,Almond,Prunus amygdalus,A. China badam; B. Badam; G. Badam; H. Badam; Kan. Badam; Kash. Badam; Kh. Almon; Mal. Vatam kottai; M. Badam; Mar. Badam; N. Kagji Badam; O. Badam; P. Badam; Tam. Badam paruppu; Tel. Badam Pappu; U. Badam.,Nuts and Oil Seeds,6,vegetarian eggetarian fishetarian veg,2549,4.37,2.62,0.03158886,58.49,0,13.06,3.04,18.41,18.305063,0.00001131,0.08494,0.19054,0.02851,0.00021,0.45618,0.964,9.05,1.6925,0.01188961,0.000001,0.000882,0,0,0.00497885,0.00074,0.00000161,0.02586,0.0000084,4.358,51.551,13.21504,51.55173,0,38.336,13.215,0.03204,13.183,38.05569,0,0.281,10.55,2.52,2.24,0.01,0.12,2.23,4.770031,4.65773,8.877302,0,0.00015,0.00026,0.00371,0.00073,0.00009,0.00000239,0.00003646,0.00000161,0,0,0.02488,0.00187,0.00168,0.00008,0.00021,0,0,0,0.0000084,0,0.00000593,0.00000179,0,0,0,0,0,0.00088,0,0,0.228,0.000006,0.000007,0.00108,0.00459,0.000002,0.000001,0.318,0.00254,0,0.000033,0.00013,0.446,0.699,0.00000361,0.0015,0.0035,1.2,0.76,0.27,0,0,0,0,0,0,0,0.03036,3.553,0.717,0.05798,0,0,0,0.281,38.012,0,0.04369,0,0,13.183,0,0.03204,0,0,0,0,0,0,0,0,0.408702,0.438158,0.740082,0.419748,0.228284,0.154644,1.032801,0.519162,0.163849,0.819245,0.77322,2.026941,2.166857,5.151118,1.111964,0.741923,0.786107,0.622258,0.344,0.11,0.235,0,0.01188,0.00029,0.09752,0,0.00131,0.00118,0,0,0.00043,0.00036,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0.00008,0.00064,0.00084,0.00051,0,0,0,0.00007,0,0,0.00003,0,0,0.00252,0.00124,0.00055,0,0,0,0,0.1,0.02,0,0,0.00373,0.00281,0.184,0,0.00000772,0
H002,"Arecanut, dried, brown",Areca catechu,"A.Sufari; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supari; Kh. Kwai tyrkhong; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Kottai paakku; Tel. Vakka; U. Supari.",Nuts and Oil Seeds,6,vegetarian eggetarian fishetarian veg,1467,6.63,1.39,0.00139575,4.35,0,11.44,70.42,5.78,4.8263,0.00004196,2.986,0.05337,0.00031,0,0.13218,0.474,0,0.77845,0.00721921,0.000004,0.001688,0,0,0.0012292,0,0.00001277,0.00015,0.00000378,2.605,0.869,0.40342,0.86929,0,0.466,0.403,0.00742,0.396,0.46587,0,0,10.14,1.3,68.32,66.56,0,1.76,1.401072,1.351942,2.073286,0,0.00004,0.00003,0.00071,0.00012,0.00032,0.00000166,0.00000754,0.00001277,0,0,0.00006,0.00022,0.00003,0,0,0,0,0,0.00000378,0,0.0000213,0.00000383,0,0,0,0,0,0.00168,0,0,0.061,0.000045,0.000003,0.00127,0.00274,0.000008,0.000004,0.07639,0.00214,0,0.000005,0.000111,0.105,0.524,0.00001521,0.01206,0.00089,0.5,0.71,0.55,0,0,0,0,0,0,0.524,1.527,0.487,0.0563,0.00972,0,0,0,0,0.461,0,0.00487,0,0,0.396,0,0.00742,0,0,0,0,0,0,0,0,0.120802,0.100572,0.256054,0.265302,0.056644,0.03757,0.205768,0.162418,0.045662,0.18785,0.21964,0.64447,0.464134,1.119008,0.27166,0.214438,0.270504,0.183804,0,0,0,0,0.00793,0.00014,0.04716,0.07506,0.00189,0,0,0,0.00086,0,0.00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049,0,0,0,0,0,0,0,0,0,0,0,0,0.00896,0,0,0,0,0,0,0,0,0,0.00528,0.00336,0.04473,0,0.00002513,0
H003,"Arecanut, dried, red color",Areca catechu,"A. Sufari; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supaari; Kh. Kwai supari; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Paakku; Tel. Vakka; U. Supari.",Nuts and Oil Seeds,3,vegetarian eggetarian fishetarian veg,1477,6.3,1.41,0.00155801,4.46,0,11.11,70.27,6.46,5.909608,0.00006372,2.77,0.05776,0.00035,0,0.13132,0.403,0,0.90314,0.00833952,0.000002,0.001056,0,0,0.00137151,0,0.0000126,0.00017,0.0000039,1.674,1.905,0.91778,1.90502,0,0.987,0.918,0.01678,0.901,0.98724,0,0,10.09,1.03,69.12,67.33,0,1.79,1.625336,1.67314,2.611132,0,0.00003,0.00024,0.0008,0.00008,0.00021,0.00000294,0.00000857,0.0000126,0,0,0.00004,0.00027,0.00004,0,0,0,0,0,0.0000039,0,0.0000275,0.00000312,0,0,0,0,0,0.00105,0,0.000001,0.051,0.000029,0.000002,0.00157,0.00326,0.000005,0.000002,0.09101,0.00232,0,0.000022,0.000104,0.127,0.617,0.00001252,0.01713,0.00102,0.6,0.83,0.36,0,0,0,0,0,0,0.236,0.833,0.498,0.0948,0.01214,0,0,0,0,0.98,0,0.00724,0,0,0.901,0,0.01678,0,0,0,0,0,0,0,0,0.17765,0.100776,0.275196,0.312664,0.062662,0.03553,0.247418,0.184756,0.049096,0.215118,0.43282,0.819128,0.531012,1.266806,0.336566,0.298452,0.380494,0.183464,0,0,0,0,0.00876,0.0002,0.04571,0.07462,0.00203,0,0,0,0.00043,0,0.00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0.00537,0.00346,0.04893,0,0.00003062,0
H004,"Arecanut, fresh",Areca catechu,"A. Kesa tamul; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supaari; Kh. Kwai im; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Paakku; Tel. Vakka; U. Supari.",Nuts and Oil Seeds,2,vegetarian eggetarian fishetarian veg,1024,37.7,1.43,0.00137195,5.51,0,7.63,45,2.73,2.408679,0.00004778,2.563,0.0538,0.00016,0,0.06398,0.414,0,0.50664,0.00367,0,0,0,0,0.00129721,0,0.00001103,0.00006,0.00000371,3.389,1.121,0.52167,1.12011,0,0.599,0.522,0.01567,0.506,0.59844,0,0,6.59,1.03,40.1,35.38,0,4.72,0.707889,0.634998,1.065792,0,0.000038,0.000031,0.00074,0.00021,0.00025,0.0000017,0.00002651,0.00001103,0,0,0.00001,0.00013,0.00002,0,0,0,0,0,0.00000371,0,0.00003165,0.00000623,0,0,0,0,0,0,0,0,0.03403,0,0,0.00071,0.00104,0,0,0.0476,0.00136,0,0,0,0.09048,0.329,0,0.00553,0.00056,3.24,1.06,0.43,0,0,0,0,0,0,0.586,2.093,0.628,0.06865,0.01331,0,0,0,0,0.582,0,0.01644,0,0,0.506,0,0.01567,0,0,0,0,0,0,0,0,0.049413,0.044226,0.123123,0.125307,0.034671,0.017472,0.099645,0.078897,0.01911,0.133497,0.10374,0.300027,0.22386,0.601419,0.123942,0.116025,0.136773,0.077532,0,0,0,0,0.01256,0.0248,0,0,0.02662,0,0,0,0.00104,0,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0.0087,0,0,0,0,0,0,0,0,0,0.00517,0.00339,0.04524,0,0.00003788,0
H005,Cashew nut,Anacardium occidentale,A. Kaju badam; B. Hijli Badam; G. Kaju; H. Kaju; Kan. Geru beeja; Kash. Kaju; Kh. Soh kashu; Mal. Kasu andi; M. Kaju; Mar. Kaju; N. Kaju; O. Lanka ambu; P. Kaju; Tam. Mundiri paruppu; Tel. Jeedi pappu; U. Kaju.,Nuts and Oil Seeds,6,vegetarian eggetarian fishetarian veg,2438,4.44,2.25,0.00431346,45.2,0,3.86,25.46,18.78,18.603468,0.00001694,0.03286,0.11453,0.00636,0,0.25912,0.929,9.84,1.485,0.01595108,0,0.000185,0,0,0.00325778,0,0.00000385,0.00105,0.00000183,7.816,35.389,7.48204,35.38962,0,27.907,7.482,0.05504,7.427,27.74458,0,0.163,2.23,1.63,23.23,20.11,2.84,3.11,5.93448,4.340058,8.32893,0,0.00061,0.00003,0.00103,0.0014,0.00016,0.00000258,0.0000252,0.00000385,0,0,0.00105,0.00005,0.00526,0,0,0,0,0,0.00000183,0,0.00000587,0.00000321,0,0,0,0,0,0.00018,0,0,0.034,0.000002,0.000004,0.00223,0.00595,0.000005,0,0.307,0.00178,0,0.000025,0.000607,0.5,0.635,0.00001308,0.009,0.00534,1.97,1.05,0.1,0,0,0,0,0,0,0,0,4.033,3.447,0.233,0.04713,0.05625,0,0.163,27.678,0,0.06658,0,0,7.427,0,0.05504,0,0,0,0,0,0,0,0,0.426306,0.724908,1.318356,0.90144,0.259164,0.249774,0.914586,0.585936,0.19719,0.606594,1.00473,1.83105,1.84983,4.274328,0.98595,0.745566,1.200042,0.527718,0.189,0.149,0.03952,0,0.00773,0.03466,0,0,0.02773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0,0,0,0,0,0,0,0,0,0,0.00003,0.00243,0.00094,0.00042,0.00155,0,0,0,0,0,2.62,0.21,0.01,0,0.00364,0.00089,0.11,0,0.00000908,0
H006,"Coconut, kernal, dry",Cocos nucifera,A. Dab narikol; B. Narkel; G. Kopra ni kachli; H. Nariyal; Kan. Thengini kai; Kash. Narjil; Kh. Snep kor trykhong; Mal. Thenga; M. Yubi Akangba; Mar. Narel; O. Nadia; P. Gola; Tam. Kopparai; Tel. Endu Kobbari; U. Khopra.,Nuts and Oil Seeds,6,vegetarian eggetarian fishetarian veg,2611,3.97,1.61,0.00723816,63.26,0,15.88,8.01,7.27,7.224199,0.000176,0.07217,0.02811,0.00646,0,0.15646,0.39,0,1.08789,0.00740125,0.000004,0.000417,0.0000021,0,0.00117528,0,0,0.00606,0.00000288,43.138,4.639,0.929,4.639,0,3.71,0.929,0,0.929,3.71,0,0,14.55,1.33,6.93,0,0,6.93,2.287142,1.858212,3.078845,0,0.00004,0.00004,0.00071,0.00021,0.00015,0.00000101,0.00002427,0,0,0,0.00602,0,0.00044,0,0,0,0,0,0.00000288,0,0.0000625,0.00000312,0,0,0,0,0,0.00041,0,0.000001,0.032,0.000013,0.000006,0.0009,0.00313,0.000006,0.000004,0.09721,0.00161,0.0000021,0.000025,0.000282,0.203,0.739,0.00002525,0.01668,0.00141,1.37,1,4.57,0,0,0,0,0,2.674,24.525,10.243,4.322,1.373,0,0,0,0,0,3.71,0,0,0,0,0.929,0,0,0,0,0,0,0,0,0,0,0.156305,0.219554,0.489998,0.313337,0.112685,0.127225,0.377313,0.223189,0.045074,0.349687,0.400577,0.950916,0.697193,1.609578,0.330058,0.25445,0.371497,0.195563,0.00683,0.0031,0.00373,0,0.117,0.00041,0.00183,0.01384,0.01017,0.00638,0.0018,0,0,0,0.00077,0,0,0.00043,0.00004,0.00294,0.00003,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0.00439,0.02197,0,0.00006562,0
H007,"Coconut, kernel, fresh",Cocos nucifera,A. Narikol; B. Narkel; G. Nariyad; H. Nariyal; Kan. Thengina kayi; Kash. Narjeel; Kh. Snep kor im; Mal. Karikku; M. Yubi; Mar. Narel; N. Naribel; O. Paida; P. Nariyal; S. Naarikela; Tam. Thenkai; Tel. Kobbari; U. Nariyel.,Nuts and Oil Seeds,6,vegetarian eggetarian fishetarian veg,1711,36.14,1.93,0.00429192,41.38,0,10.42,6.3,3.84,3.912192,0.000204,0.03522,0.01821,0.00563,0,0.14112,0.136,0,0.36485,0.003049,0,0.000033,0,0.00000266,0.00074604,0.0008,0,0.00272,0.00002322,28.048,3.088,0.639,3.08862,0,2.449,0.639,0,0.639,2.44962,0,0,9.43,0.99,6.2,0,0,6.2,1.334784,1.066752,1.510656,0,0.00003,0.00008,0.0003,0.00021,0.0001,6.3e-7,0.00002541,0,0,0,0.00239,0.00005,0.00319,0,0,0,0,0,0.00002322,0,0.000122,0.00000484,0,0,0,0,0.00000266,0.00003,0,0.000001,0.008,0.000003,0.000004,0.00036,0.0013,0.000002,0,0.035,0.00074,0,0.000012,0.00005,0.06773,0.246,0,0.00812,0.00058,1,0.89,4.31,0,0,0,0,0,1.699,15.442,6.736,3.067,1.043,0.03277,0.01093,0.01737,0,0,2.434,0,0.01562,0,0,0.639,0,0,0,0,0,0,0,0,0,0,0.09216,0.167808,0.266112,0.156672,0.084096,0.056448,0.173184,0.1248,0.04608,0.223872,0.202368,0.532608,0.369408,0.734208,0.177792,0.177024,0.204672,0.12288,0.00344,0.00168,0.00176,0.00171,0.00182,0,0.01515,0,0.119,0,0.00031,0,0,0,0.00018,0,0,0.00026,0.00002,0.00045,0.00002,0,0,0,0,0,0,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,0.00245,0.01459,0.00000266,0.00012684,0.00000266
H008,"Garden cress, seeds",Lepidium sativum,A. Soru manimunni ; B. Halim; G. Asadiyo; H. Halim; Kan. Allibija; Mal. Alivirai; Mar. Ahiva; P. Halim; Tam. Alivirai; Tel. Adityala.,Nuts and Oil Seeds,5,vegetarian eggetarian fishetarian veg,1863,4.6,6.37,0.00680616,23.74,0,8.27,33.66,23.36,23.016608,0.000559,0.115,0.33283,0.00107,0,0.18423,1.037,3.42,2.13784,0.02565542,0,0.00005,0,0,0.00670958,0,0.00000192,0.00007,0.00002466,4.101,18.595,10.323,18.59548,0,8.131,10.464,7.484,2.98,8.076,0,0.05548,6.33,1.95,31.03,30.12,4.47,0.91,7.386432,5.830656,9.79952,0,0.00052,0.00015,0.00567,0.00028,0.00005,0.00000866,0.00003092,0.00000192,0,0,0.00107,0,0,0,0,0,0,0,0.00002466,0,0.0000225,0.00003393,0,0,0,0,0,0,0.00001101,0.000008,0.318,0,0.000019,0.00051,0.0172,0.000042,0,0.307,0.00287,0,0.000033,0.000128,0.539,0.952,0.00005441,0.02184,0.00483,0.09,0.21,0.61,0,0,0,0,0,0,0,0.03271,2.19,0.73,0.8,0.219,0.13,0,0.05548,5.166,0,2.699,0,0.211,2.839,0.141,7.484,0,0,0,0,0,0,0,0,0.612032,0.876,1.537088,0.89936,0.43216,0.287328,0.908704,0.73584,0.289664,1.095584,1.245088,2.492512,2.403744,4.985024,1.219392,1.020832,1.165664,0.810592,0.06004,0.0333,0.02674,0,0.00208,0.00173,0.09412,0,0.02542,0.00084,0,0,0,0,0,0,0,0.00009,0.00008,0.00065,0.00005,0,0,0,0,0.00121,0,0,0,0,0.00982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0.91,0,0,0.06385,0.00798,0.261,0,0.00005643,0
H009,"Gingelly seeds, black",Sesamum indicum,A. Kola til; B. Til; E. Sesame seeds; G. Kada tal; H. Til; Kan. Acchellu; Kash. Til; Kh. Nei iong; Mal. Ellu; M. Thoiding Amuba; Mar. Til; N. Teel; O. Rasi; P. Til; S. Til; Tam. Ellu; Tel. Nuvvulu; U. Til .,Nuts and Oil Seeds,6,vegetarian eggetarian fishetarian veg,2124,4.51,5.78,0.00510098,43.1,0,17.16,10.29,19.17,18.947628,0.00006078,0.153,0.25088,0.00108,0.00003,2.28084,0.845,3.25,3.11791,0.0271967,0.000035,0.002118,0,0.00001309,0.00482006,0,0.00006783,0.00009,0.00011,6.317,34.864,19.259,34.8639,0,15.605,19.259,0.136,19.123,15.54266,0,0.06224,13.57,3.59,9.53,8.54,1.02,0.99,6.477543,4.769496,7.700589,0,0.00034,0.0001,0.00312,0.00049,0.00064,0.00000306,0.000127,0.00006783,0,0,0.00108,0,0,0,0.00003,0,0,0,0.00011,0,0.0000229,0.00000267,0,0,0,0,0.00001309,0.00208,0,0.000004,1.664,0.000029,0.000035,0.00176,0.0139,0.000034,0.000035,0.39,0.00253,0,0.000075,0.000262,0.568,0.48,0.0000157,0.01591,0.00859,0.31,0.47,0.21,0,0,0,0,0,0,0,0,3.735,2.23,0.263,0.05125,0.03842,0,0.06224,15.475,0,0.06766,0,0,19.123,0,0.136,0,0,0,0,0,0,0,0,0.458163,1.090773,1.132947,0.504171,0.644112,0.233874,0.908658,0.611523,0.21087,0.916326,1.134864,2.112534,1.654371,3.860838,1.085022,0.720792,1.050516,0.617274,2.156,0.07858,2.078,0.00022,0.00456,0.00177,0,0.01045,0.104,0.00384,0,0,0.00014,0.00145,0,0,0,0,0,0.00006,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0.01,0,0.0308,0.01408,0.206,0.00001309,0.00002557,0.00001309
H010,"Gingelly seeds, brown",Sesamum indicum,A. Matia rangar til; B. Til; E. Sesame seeds; G. Tal; H. Til; Kan. Acchellu; Kash. Til; Kh. Nei; Mal. Ellu; M. Thoiding; Mar. Til; N. Teel; O. Rasi; P. Til; S. Til; Tam. Ellu; Tel. Nuvvulu; U. Til.,Nuts and Oil Seeds,4,vegetarian eggetarian fishetarian veg,2161,3.62,4.58,0.00490103,43.22,0,17.21,9.76,21.61,20.944412,0.00008672,0.102,0.25345,0.00122,0.00004,2.28439,0.921,6.4,2.61794,0.02655164,0.000004,0.002511,0,0.00000541,0.00447611,0,0.00007651,0.00023,0.000113,6.25,35.067,19.078,35.06726,0,15.989,19.078,0.112,18.966,15.9323,0,0.05696,13.58,3.63,9.31,7.92,0.88,1.39,6.826599,5.370085,8.747728,0,0.00027,0.00008,0.00305,0.00049,0.00049,0.00000348,0.00009263,0.00007651,0,0,0.00122,0,0,0,0.00004,0,0,0,0.000113,0,0.000017,0.0000024,0,0,0,0,0.00000541,0.0025,0,0.000001,1.174,0.00002,0.000022,0.00168,0.01495,0.00001,0.000004,0.328,0.00176,0,0.000114,0.000113,0.613,0.491,0.00005264,0.01194,0.00784,0.5,0.21,0.68,0,0,0,0,0,0,0,0,3.826,2.09,0.251,0.04761,0.03587,0,0.05696,15.866,0,0.0663,0,0,18.966,0,0.112,0,0,0,0,0,0,0,0,0.49703,1.082661,1.335498,0.555377,0.581309,0.244193,0.827663,0.659105,0.252837,1.035119,1.225287,2.44193,1.869265,4.479753,1.205838,0.752028,1.173423,0.726096,2.03,0.08313,1.947,0.00064,0.05418,0.00327,0.03468,0.0119,0.01072,0.139,0,0,0.00024,0.00041,0,0,0,0,0,0.00023,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.01,0.01,0,0.03234,0.01411,0.207,0.00000541,0.0000194,0.00000541
H011,"Gingelly seeds, white",Sesamum indicum,A. Boga til; B. Til; E. Sesame seeds; G. Safed tal; H. Til; Kan. Acchellu; Kash. Til; Kh. Nei; Mal. Ellu; M. Thoiding Angouba; Mar. Til; N. Teel; O. Rasi; P. Til; S. Til; Tam. Ellu; Tel. Nuvvulu; U. Til.,Nuts and Oil Seeds,5,vegetarian eggetarian fishetarian veg,2174,3.3,4.13,0.00704614,43.05,0,16.99,10.83,21.7,21.27902,0.00005706,0.023,0.26802,0.00124,0.00007,2.15555,0.927,5.64,2.88443,0.02635674,0.000005,0.001314,0,0.00001294,0.00560446,0,0.00006274,0.00126,0.000106,6.43,34.721,18.597,34.72141,0,16.124,18.597,0.12,18.477,16.06854,0,0.05587,13.49,3.51,8.61,7.94,0.96,0.67,6.91145,5.61379,8.75378,0,0.00036,0.00007,0.00394,0.00048,0.00062,0.00000346,0.000131,0.00006274,0,0,0.00124,0,0,0,0.00007,0,0,0,0.000106,0,0.0000197,0.00000188,0,0,0,0,0.00001294,0.00129,0,0,1.283,0.000015,0.000023,0.0015,0.01504,0.000024,0.000005,0.372,0.00174,0,0.000126,0.000116,0.754,0.46,0.00002674,0.01543,0.00777,0.09,0.33,0.26,0,0,0,0,0,0,0,0,3.883,2.206,0.256,0.05085,0.03317,0,0.05587,16.001,0,0.06754,0,0,18.477,0,0.12,0,0,0,0,0,0,0,0,0.52297,1.30634,1.1718,0.56203,0.48825,0.28427,0.95046,0.651,0.25172,1.00688,1.21954,2.42606,1.96602,4.34651,1.37144,0.81592,1.22171,0.7161,2.004,0.07351,1.931,0.00077,0.05642,0.00042,0.00012,0,0,0.09382,0,0,0.00013,0.00154,0,0,0,0,0,0.00007,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.01,0.02,0,0.03413,0.01489,0.219,0.00001294,0.00002158,0.00001294
